,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,MedalEarned,PreviousMedals,NOC_advantage,Height_div_avg,Weight_div_avg,Age_div_avg
231307,116059,Su Bingtian,M,22.0,173.0,70.0,China,CHN,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,,0,0,0.0,-12.51,-15.64,-3.67
231309,116059,Su Bingtian,M,26.0,173.0,70.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,,0,0,0.0,-12.1,-14.18,0.18
231318,116066,Su Po-Tai,M,27.0,184.0,72.0,Chinese Taipei,TPE,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 110 metres Hurdles,,0,0,0.0,2.42,-6.08,2.48
231322,116069,Su Wen-Ho,M,22.0,172.0,67.0,Chinese Taipei,TPE,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,,0,0,0.0,-9.58,-11.08,-2.52
231323,116069,Su Wen-Ho,M,22.0,172.0,67.0,Chinese Taipei,TPE,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Long Jump,,0,0,0.0,-9.58,-11.08,-2.52
231324,116069,Su Wen-Ho,M,26.0,172.0,67.0,Chinese Taipei,TPE,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,,0,0,0.0,-9.69,-11.52,1.42
231334,116076,"Christopher ""Chris"" Sua'mene",M,23.0,186.0,87.0,Samoa,SAM,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Discus Throw,,0,0,0.0,1.6,4.57,-2.59
231591,116188,Gerardo N. Suero Correa,M,22.0,177.0,65.0,Dominican Republic,DOM,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,,0,0,0.08,-5.53,-13.56,-2.27
231597,116191,Shingo Suetsugu,M,24.0,178.0,68.0,Japan,JPN,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,,0,0,0.0,-6.98,-17.03,-1.69
231667,116222,Tatsuo Sugimoto,M,21.0,183.0,76.0,Japan,JPN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,,0,0,0.0,-0.59,-4.31,-4.05
231669,116223,Kuniyoshi Sugioka,M,18.0,181.0,70.0,Japan,JPN,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's High Jump,,0,0,0.0,-0.24,-8.02,-6.04
231670,116223,Kuniyoshi Sugioka,M,22.0,181.0,70.0,Japan,JPN,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's High Jump,,0,0,0.0,-0.33,-8.04,-2.57
231671,116223,Kuniyoshi Sugioka,M,26.0,181.0,70.0,Japan,JPN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's High Jump,,0,0,0.0,-0.58,-8.08,1.48
231672,116223,Kuniyoshi Sugioka,M,30.0,181.0,70.0,Japan,JPN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's High Jump,,0,0,0.0,-0.69,-8.52,5.42
231744,116253,Ari Michael Suhonen,M,22.0,185.0,68.0,Finland,FIN,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 1,500 metres",,0,0,0.1,2.58,-11.18,-2.82
231861,116315,"Supanara Suksawat, Na Ayutthaya",M,20.0,190.0,72.0,Thailand,THA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Long Jump,,0,0,0.0,4.49,-13.64,-5.67
231886,116330,Abdul Rahman Ahmed Suleiman,M,20.0,180.0,62.0,Qatar,QAT,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Men's 1,500 metres",,0,0,0.17,-4.98,-23.03,-5.69
231887,116331,Mohamed Ahmed Suleiman,M,18.0,175.0,63.0,Qatar,QAT,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 1,500 metres",,0,0,0.1,-7.42,-16.18,-6.82
231888,116331,Mohamed Ahmed Suleiman,M,22.0,175.0,63.0,Qatar,QAT,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 1,500 metres",Bronze,1,0,0.09,-8.59,-17.31,-3.05
231889,116331,Mohamed Ahmed Suleiman,M,26.0,175.0,63.0,Qatar,QAT,1996 Summer,1996,Summer,Atlanta,Athletics,"Athletics Men's 1,500 metres",,0,1,0.1,-9.4,-19.43,0.41
231908,116343,Peauope Suli,M,24.0,190.0,90.0,Tonga,TGA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,,0,0,0.0,7.58,10.82,-0.82
231954,116369,Kevin Roy Sullivan,M,26.0,180.0,67.0,Canada,CAN,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Men's 1,500 metres",,0,0,0.11,-4.79,-17.27,0.23
231955,116369,Kevin Roy Sullivan,M,30.0,180.0,67.0,Canada,CAN,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Men's 1,500 metres",,0,0,0.14,-4.98,-18.03,4.31
231956,116369,Kevin Roy Sullivan,M,34.0,180.0,67.0,Canada,CAN,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 1,500 metres",,0,0,0.16,-5.14,-18.37,8.46
