,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,MedalEarned,PreviousMedals,Height_div_avg,Weight_div_avg,Age_div_avg
211619,106269,Vasily Savinkov,M,23.0,180.0,70.0,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 800 metres,,0,0,1.53,-2.44,-2.05
211713,106298,Mykola Mykolaiovych Savolainen,M,24.0,190.0,75.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Triple Jump,,0,0,8.38,-1.88,-2.17
211714,106298,Mykola Mykolaiovych Savolainen,M,28.0,190.0,75.0,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Triple Jump,,0,0,8.43,-1.73,1.82
211766,106329,Keisuke Sawaki,M,24.0,168.0,60.0,Japan,JPN,1968 Summer,1968,Summer,Mexico City,Athletics,"Athletics Men's 5,000 metres",,0,0,-11.07,-12.88,-1.23
211767,106329,Keisuke Sawaki,M,24.0,168.0,60.0,Japan,JPN,1968 Summer,1968,Summer,Mexico City,Athletics,"Athletics Men's 10,000 metres",,0,0,-11.07,-12.88,-1.23
211768,106329,Keisuke Sawaki,M,28.0,168.0,60.0,Japan,JPN,1972 Summer,1972,Summer,Munich,Athletics,"Athletics Men's 5,000 metres",,0,0,-11.02,-12.84,2.77
211769,106329,Keisuke Sawaki,M,28.0,168.0,60.0,Japan,JPN,1972 Summer,1972,Summer,Munich,Athletics,"Athletics Men's 10,000 metres",,0,0,-11.02,-12.84,2.77
211771,106331,Willi Alfred Sawall,M,38.0,171.0,65.0,Australia,AUS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 50 kilometres Walk,,0,0,-8.5,-7.07,13.14
211772,106331,Willi Alfred Sawall,M,42.0,171.0,65.0,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 20 kilometres Walk,,0,0,-8.19,-6.62,17.28
211773,106331,Willi Alfred Sawall,M,42.0,171.0,65.0,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 50 kilometres Walk,,0,0,-8.19,-6.62,17.28
211777,106334,Daichi Sawano,M,23.0,183.0,74.0,Japan,JPN,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Pole Vault,,0,0,1.38,-2.88,-3.17
211778,106334,Daichi Sawano,M,27.0,183.0,74.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Pole Vault,,0,0,1.43,-2.73,0.82
211779,106334,Daichi Sawano,M,35.0,183.0,74.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Pole Vault,,0,0,2.1,-0.48,8.39
