,index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,MedalEarned,PreviousMedals,Height_div_avg,Weight_div_avg,Age_div_avg
1454,56135,28765,Yoyaga Dit Fatogoma Dit Coulibaly,M,25.0,172.0,67.0,Cote d'Ivoire,CIV,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 400 metres,,0,0,-7.49,-4.92,1.02
1455,56136,28765,Yoyaga Dit Fatogoma Dit Coulibaly,M,29.0,172.0,67.0,Cote d'Ivoire,CIV,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 400 metres,,0,0,-6.98,-4.09,5.26
1456,56151,28776,Allah Ditta,M,27.0,179.0,79.0,Pakistan,PAK,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Pole Vault,,0,0,-1.86,4.43,1.18
1457,56153,28778,"Bala ""Kuda"" Ditta",M,27.0,183.0,73.0,Malaysia,MAS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 110 metres Hurdles,,0,0,-0.22,-2.51,2.27
1458,56186,28788,Thomas Dittrich,M,25.0,186.0,85.0,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 110 metres Hurdles,,0,0,-0.7,5.3,0.2
1459,56242,28811,Walter Dix,M,22.0,175.0,80.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,Bronze,1,0,-3.36,3.0,-2.78
1460,56294,28834,"Rodney Phillip ""Rod"" Dixon",M,22.0,186.0,70.0,New Zealand,NZL,1972 Summer,1972,Summer,Munich,Athletics,"Athletics Men's 1,500 metres",Bronze,1,0,7.36,4.41,-2.22
1461,56311,28845,Jn Diriksson,M,25.0,194.0,79.0,Iceland,ISL,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Men's 1,500 metres",,0,0,15.78,14.75,1.28
1462,56317,28850,Hadhari Djaffar Saindou,M,21.0,180.0,60.0,Comoros,COM,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,,0,0,2.21,-13.77,-3.61
1463,56318,28850,Hadhari Djaffar Saindou,M,25.0,180.0,60.0,Comoros,COM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,,0,0,2.32,-14.48,0.0
1464,56320,28852,Houssein Djama Egueh,M,24.0,180.0,60.0,Djibouti,DJI,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 1,500 metres",,0,0,2.43,-3.33,-0.57
1465,56343,28867,Leslie Djhone,M,23.0,187.0,76.0,France,FRA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 400 metres,,0,0,6.23,3.1,-1.11
1466,56345,28867,Leslie Djhone,M,27.0,187.0,76.0,France,FRA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 400 metres,,0,0,5.72,2.19,3.3
1467,56354,28872,Kmob Djirmassal,M,30.0,186.0,80.0,Chad,CHA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Long Jump,,0,0,5.25,6.96,6.11
1468,56372,28883,Sipho Dlamini,M,19.0,180.0,65.0,Swaziland,SWZ,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 1,500 metres",,0,0,2.43,1.67,-5.57
1469,56546,28976,Gbor Dobos,M,28.0,180.0,85.0,Hungary,HUN,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,,0,0,2.32,10.52,3.0
1470,56751,29075,"James F. ""Jim"" Doehring",M,26.0,183.0,120.0,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Shot Put,,0,0,-7.57,-1.29,-1.76
1471,56752,29075,"James F. ""Jim"" Doehring",M,30.0,183.0,120.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Shot Put,Silver,1,0,-8.54,0.85,2.0
1472,56778,29094,Musa Dogon Yaro,M,23.0,172.0,70.0,Nigeria,NGR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 400 metres,,0,0,-6.98,-1.09,-0.74
1473,56899,29156,"Zbigniew ""Bishop"" Dolegiewicz",M,23.0,196.0,134.0,Canada,CAN,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Discus Throw,,0,0,5.33,19.2,-5.2
1474,56900,29156,"Zbigniew ""Bishop"" Dolegiewicz",M,31.0,196.0,134.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Shot Put,,0,0,4.0,17.16,6.42
